Easting;Northing;Elevation
2496424.32;1139974.106;1374.8
2496449.32;1139974.106;1378.5
2496474.32;1139974.106;1377.9
2496499.32;1139974.106;1376.6
2496524.32;1139974.106;1376.5
2496549.32;1139974.106;1378.4
2496574.321;1139974.106;1381.7
2496599.321;1139974.106;1391.5
2496624.321;1139974.106;1391.5
2496649.321;1139974.106;1391.4
2496674.321;1139974.106;1388.3
2496699.321;1139974.106;1378.7
2496724.321;1139974.106;1367.3
2496749.321;1139974.106;1346.4
2496774.321;1139974.106;1329
2496799.321;1139974.106;1319.3
2496824.321;1139974.106;1307.8
2496849.321;1139974.106;1307.8
2496874.321;1139974.106;1303.9
2496899.321;1139974.106;1298.2
2496924.321;1139974.106;1289.2
2496949.321;1139974.106;1278.6
2496974.321;1139974.106;1267.9
2496999.321;1139974.106;1258.2
2497024.322;1139974.106;1252.9
2497049.322;1139974.106;1258.6
2497074.322;1139974.106;1258.6
2497099.322;1139974.106;1260.7
2497124.322;1139974.106;1260.9
2495524.318;1139949.106;1395.9
2495549.318;1139949.106;1394.4
2495574.318;1139949.106;1394.9
2495599.318;1139949.106;1389.7
2495624.318;1139949.106;1389.8
2495649.319;1139949.106;1395.4
2495674.319;1139949.106;1400.6
2495699.319;1139949.106;1404.5
2495724.319;1139949.106;1404.5
2495749.319;1139949.106;1409.4
2495774.319;1139949.106;1410.1
2495799.319;1139949.106;1408.4
2495824.319;1139949.106;1404.6
2495849.319;1139949.106;1402.4
2495874.319;1139949.106;1402.5
2495899.319;1139949.106;1401
2495924.319;1139949.106;1394.1
2495949.319;1139949.106;1394.1
2495974.319;1139949.106;1395.9
2495999.319;1139949.106;1393.2
2496024.319;1139949.106;1390.7
2496049.319;1139949.106;1390.9
2496074.319;1139949.106;1391.1
2496099.32;1139949.106;1390.7
2496124.32;1139949.106;1387.2
2496149.32;1139949.106;1372.9
2496174.32;1139949.106;1372.9
2496199.32;1139949.106;1371.3
2496224.32;1139949.106;1370.9
2496249.32;1139949.106;1370.6
2496274.32;1139949.106;1365
2496299.32;1139949.106;1360.8
2496324.32;1139949.106;1360
2496349.32;1139949.106;1360.5
2496374.32;1139949.106;1364.4
2496399.32;1139949.106;1364.4
2496424.32;1139949.106;1370.2
2496449.32;1139949.106;1374
2496474.32;1139949.106;1376.2
2496499.32;1139949.106;1374
2496524.32;1139949.106;1372.8
2496549.32;1139949.106;1374.8
2496574.321;1139949.106;1376
2496599.321;1139949.106;1384.4
2496624.321;1139949.106;1384.4
2496649.321;1139949.106;1389.4
2496674.321;1139949.106;1383.1
2496699.321;1139949.106;1375.5
2496724.321;1139949.106;1361
2496749.321;1139949.106;1342.5
2496774.321;1139949.106;1323.7
2496799.321;1139949.106;1313.3
2496824.321;1139949.106;1303.2
2496849.321;1139949.106;1303.2
2496874.321;1139949.106;1298.7
2496899.321;1139949.106;1290
2496924.321;1139949.106;1281.4
2496949.321;1139949.106;1272
2496974.321;1139949.106;1264
2496999.321;1139949.106;1254.9
2497024.322;1139949.106;1249.3
2497049.322;1139949.106;1260.1
2497074.322;1139949.106;1260.1
2497099.322;1139949.106;1262.5
2495499.318;1139924.106;1395.9
2495524.318;1139924.106;1395.9
2495549.318;1139924.106;1394
2495574.318;1139924.106;1392.8
2495599.318;1139924.106;1390.6
2495624.318;1139924.106;1389.3
2495649.319;1139924.106;1389.2
2495674.319;1139924.106;1390.3
2495699.319;1139924.106;1404.2
